均值,方差,标准差,偏度,峰度,四阶累积量,六阶累积量,最大值,最小值,中位数,峰峰值,整流平均值,均方根,方根幅值,波形因子,峰值因子,脉冲因子,裕度因子,重心频率,均方频率,均方根频率,频率方差,频率标准差,谱峭度的均值,谱峭度的标准差,谱峭度的峰度,谱峭度的偏度,label
-0.0018049199134111404,0.3223989009857178,0.567801833152771,0.025996007201056985,-0.037334763947773464,0.30794253945350647,0.4829612374305725,1.929628849029541,-1.81654691696167,0.007522100117057562,3.746175765991211,0.4537501633167267,0.5678046941757202,0.38439084115715616,1.2513597011566162,3.398402452468872,4.252624034881592,6374.075746869517,-1.8055252785567695e-05,0.06961415823391322,0.26384495112454437,0.06961415790792107,0.2638449505067722,147.89467691442803,0.0,147.89467691442803,,0.0
-0.010141857899725437,0.3210912048816681,0.5666490793228149,0.03547902521665684,-0.038633545489428656,0.3053155839443207,0.47881364822387695,1.929628849029541,-1.81654691696167,0.0009179000044241548,3.746175765991211,0.45286935567855835,0.5667398571968079,0.383742490458431,1.251442313194275,3.404787540435791,4.260895252227783,6379.458122381524,-2.389143546906643e-05,0.06932844194702077,0.26330294709140795,0.0693284413762201,0.2633029460074841,148.69694801639787,0.0,148.69694801639787,,0.0
-0.016324104741215706,0.31298819184303284,0.5594534873962402,0.03566128392638479,0.00652246211098273,0.2945237457752228,0.4643598198890686,1.929628849029541,-1.81654691696167,-0.005519350059330463,3.746175765991211,0.4466586410999298,0.5596915483474731,0.37830170176233935,1.2530633211135864,3.447664737701416,4.3201422691345215,6425.1694877640675,-5.227864440998214e-05,0.06923914694215016,0.26313332541156803,0.06923914420909338,0.26313332021827524,137.55532709762926,0.0,137.55532709762926,,0.0
-0.020799564197659492,0.3142363727092743,0.5605679154396057,0.05174732870642621,0.02278454171053168,0.29848334193229675,0.47886553406715393,1.929628849029541,-1.81654691696167,-0.014948799274861813,3.746175765991211,0.44705283641815186,0.5609536170959473,0.3779977733577198,1.2547814846038818,3.439908027648926,4.316332817077637,6427.752041515138,-1.0352865988054136e-05,0.06961658594611336,0.2638495517261937,0.06961658583893152,0.26384955152308204,136.78963671881309,0.0,136.78963671881309,,0.0
-0.019245488569140434,0.3137757182121277,0.5601568818092346,0.059104217925413316,0.010480033061627037,0.29639744758605957,0.4726458787918091,1.929628849029541,-1.81654691696167,-0.014948799274861813,3.746175765991211,0.44727861881256104,0.5604873895645142,0.3787199678099604,1.2531057596206665,3.4427695274353027,4.314154148101807,6421.620463552727,-2.7037572502113566e-05,0.06942999176230398,0.26349571488414,0.06942999103127366,0.2634957134969631,124.67965150372441,0.0,124.67965150372441,,0.0
-0.01449668314307928,0.31942033767700195,0.5651728510856628,0.07203876318687949,-0.0016286879279183708,0.30592188239097595,0.4911692142486572,1.929628849029541,-1.81654691696167,-0.011330850422382355,3.746175765991211,0.4515816569328308,0.5653587579727173,0.38281701374513943,1.2519524097442627,3.413105010986328,4.273045063018799,6387.164775576821,-6.995905052245156e-05,0.06993938654422337,0.26446055763425924,0.06993938164995468,0.26446054838095356,132.1144908386582,0.0,132.1144908386582,,0.0
-0.00492806825786829,0.3181627094745636,0.5640591382980347,0.08334563705337532,0.009184460213808698,0.30461224913597107,0.4883164167404175,1.929628849029541,-1.81654691696167,-0.004851799923926592,3.746175765991211,0.4503863453865051,0.5640806555747986,0.3818928017083181,1.2524373531341553,3.4208385944366455,4.284385681152344,6394.888837619513,-7.06404731410114e-05,0.07007127992016657,0.26470980321885806,0.07007127493008988,0.2647097937932971,142.83751779801688,0.0,142.83751779801688,,0.0
0.0022697728127241135,0.31530827283859253,0.5615231990814209,0.07397061790029237,0.029129523953819625,0.3011539578437805,0.48004770278930664,1.929628849029541,-1.81654691696167,0.002223249990493059,3.746175765991211,0.4472944736480713,0.5615277290344238,0.3786259973421693,1.2553871870040894,3.4363911151885986,4.314001083374023,6422.417299013044,-8.36593552505518e-05,0.07056098886889041,0.26563318480357534,0.07056098187000283,0.2656331716296043,137.2051885692669,0.0,137.2051885692669,,0.0
-0.005692062433809042,0.31842610239982605,0.5642925500869751,0.0776011843161903,0.03678813325700814,0.30791568756103516,0.4956260621547699,1.929628849029541,-1.81654691696167,-0.00904799997806549,3.746175765991211,0.4494625926017761,0.5643212795257568,0.3807724662377474,1.2555466890335083,3.419379949569702,4.293191432952881,6404.289673096147,-3.696352240952277e-05,0.07132209525828956,0.26706196894782597,0.07132209389198746,0.2670619663898015,140.57645624223338,0.0,140.57645624223338,,0.0
-0.01379206869751215,0.3242555260658264,0.569434404373169,0.06342395961400396,0.07822274216648006,0.3236493766307831,0.5396774411201477,1.929628849029541,-1.8831729888916016,-0.0213384497910738,3.8128018379211426,0.4524539113044739,0.5696014165878296,0.3825133409373507,1.258915901184082,3.3876826763153076,4.26480770111084,6389.699619787986,-5.528399128008906e-05,0.07112949420588628,0.2667011327420382,0.07112949114956667,0.26670112701217946,143.12230017830558,0.0,143.12230017830558,,0.0
-0.018528759479522705,0.3189850449562073,0.5647876262664795,0.0716538436867793,0.042998723033742525,0.30962955951690674,0.49646279215812683,1.929628849029541,-1.8831729888916016,-0.02405644953250885,3.8128018379211426,0.44925457239151,0.5650914907455444,0.3799171477959682,1.2578425407409668,3.414719343185425,4.2951788902282715,6411.494701259825,-7.998594263109552e-05,0.07006295860947548,0.26469408495369795,0.07006295221172468,0.2646940728685187,147.29016843832713,0.0,147.29016843832713,,0.0
